Model,Accuracy,Precision,Recall,F1-score,Rank
Linear SVM (SGDClassifier),0.9866369710467706,0.9837360594795539,0.9883286647992531,0.9860270144387517,1
Logistic Regression,0.9830734966592427,0.9786839666357738,0.9859943977591037,0.9823255813953489,2
Neural Network (balanced sample),0.95,0.9591836734693877,0.94,0.9494949494949495,3
Multinomial Naive Bayes,0.9307349665924276,0.9222785977859779,0.9334733893557423,0.9278422273781902,4
